Time,accX,accY,accZ
0.314 sec,-9.638,-13.664,961.97
0.317 sec,-8.052,-14.03,964.166
0.319 sec,-9.394,-16.104,966.606
0.321 sec,-5.002,-14.884,961.604
0.323 sec,-4.514,-13.542,963.068
0.325 sec,-7.564,-14.884,966.728
0.327 sec,-5.612,-13.908,965.752
0.329 sec,-5.246,-15.372,964.898
0.331 sec,-7.93,-15.128,964.776
0.333 sec,-7.564,-16.836,960.384
0.335 sec,-8.418,-14.518,964.288
0.337 sec,-8.662,-14.884,964.044
0.339 sec,-6.954,-13.42,964.654
0.342 sec,-6.832,-14.884,963.556
0.344 sec,-2.806,-13.176,966.24
0.346 sec,-6.1,-16.348,968.436
0.348 sec,-6.1,-15.494,959.896
0.35 sec,-3.172,-13.908,965.142
0.352 sec,-6.71,-14.884,965.508
0.354 sec,-5.978,-14.274,963.068
0.356 sec,-5.246,-13.908,963.678
0.358 sec,-6.344,-14.518,963.556
0.36 sec,-6.832,-14.274,963.19
0.362 sec,-6.588,-13.786,962.458
0.364 sec,-5.124,-14.152,959.408
0.367 sec,-6.588,-13.542,962.336
0.369 sec,-7.808,-14.884,961.726
0.371 sec,-3.416,-13.786,963.8
0.373 sec,-8.418,-14.884,967.582
0.375 sec,-5.612,-16.104,959.652
0.377 sec,-2.44,-13.908,962.336
0.379 sec,-7.32,-14.396,964.898
0.381 sec,-7.442,-14.64,961.726
0.383 sec,-4.636,-13.542,963.678
0.385 sec,-3.294,-14.518,961.482
0.387 sec,-7.686,-14.64,967.094
0.389 sec,-7.686,-16.592,963.8
0.392 sec,-8.54,-14.518,961.97
0.394 sec,-7.686,-14.518,967.46
0.396 sec,-6.588,-15.86,962.336
0.398 sec,-5.734,-13.908,963.556
0.4 sec,-7.93,-15.372,964.898
0.402 sec,-6.832,-14.03,960.384
0.404 sec,-8.052,-14.64,961.97
0.406 sec,-5.612,-13.786,963.312
0.408 sec,-7.686,-14.762,966.728
0.41 sec,-7.686,-15.616,965.386
0.412 sec,-8.54,-14.396,962.702
0.414 sec,-5.49,-13.176,965.63
0.417 sec,-7.442,-13.908,963.556
0.419 sec,-4.026,-13.664,962.214
0.421 sec,-7.076,-14.152,963.312
0.423 sec,-7.808,-15.006,961.97
0.425 sec,-7.686,-15.982,961.238
0.427 sec,-6.832,-13.786,965.142
0.429 sec,-8.906,-14.762,964.776
0.431 sec,-8.906,-15.128,964.41
0.433 sec,-6.466,-14.762,961.238
0.435 sec,-5.368,-14.762,965.63
