Time,accX,accY,accZ
0.357 sec,-148.23,98.82,919.392
0.36 sec,1301.252,-378.932,1185.474
0.362 sec,1060.912,-504.714,1263.432
0.365 sec,117.486,128.71,1276.242
0.367 sec,-723.216,196.298,1443.016
0.369 sec,-557.296,-263.642,858.026
0.372 sec,-434.198,-10.614,636.23
0.374 sec,-542.29,-102.724,876.448
0.376 sec,-487.634,180.56,755.302
0.379 sec,418.704,-0.976,847.046
0.381 sec,1237.324,-349.042,1357.86
0.383 sec,1241.716,-597.19,1428.742
0.386 sec,173.972,-80.276,1190.72
0.388 sec,-952.21,84.302,1238.178
0.39 sec,-675.514,-177.022,511.302
0.393 sec,-457.134,336.11,826.55
0.395 sec,-387.228,42.822,568.276
0.397 sec,-394.304,138.348,793.244
0.4 sec,470.432,-14.396,839.238
0.402 sec,1229.028,-56.364,1105.198
0.404 sec,1054.568,-219.478,1665.422
0.407 sec,20.374,47.702,929.518
0.409 sec,-1027.24,21.716,701.378
0.411 sec,-636.84,264.862,471.042
0.413 sec,-459.33,177.144,811.544
0.416 sec,-446.398,-164.212,930.86
0.418 sec,-282.064,-51.362,841.8
0.421 sec,349.53,-405.04,1046.638
0.423 sec,1338.096,-306.464,1483.154
0.425 sec,998.936,-176.778,1196.454
0.428 sec,-154.208,-91.622,940.376
0.43 sec,-987.712,-124.074,977.22
0.433 sec,-544.974,391.986,639.524
0.435 sec,-495.198,279.746,918.538
0.437 sec,-467.382,-88.572,876.082
0.44 sec,-121.634,-134.81,889.38
0.442 sec,679.296,-366.488,1058.106
0.444 sec,1273.192,-18.666,1735.084
0.447 sec,749.69,-41.602,1195.356
0.449 sec,-278.648,-66.612,810.934
0.451 sec,-815.936,36.966,1013.21
0.454 sec,-477.02,169.458,559.614
0.456 sec,-464.088,11.224,876.082
0.458 sec,-463.356,-3.66,835.7
0.46 sec,-122.366,-79.178,909.632
0.463 sec,1077.26,131.638,1250.012
0.465 sec,1320.65,285.846,1288.32
0.467 sec,280.722,312.076,1163.27
0.47 sec,-482.51,328.546,938.302
0.472 sec,-648.064,177.388,1109.59
0.474 sec,-411.384,193.492,663.558
0.477 sec,-456.89,-190.442,782.02
0.479 sec,-413.214,-54.29,1044.076
0.482 sec,102.602,-502.64,924.272
0.484 sec,1299.3,127.246,1381.772
0.486 sec,1209.752,-290.116,998.326
0.489 sec,30.256,114.192,909.144
0.491 sec,-755.302,305.732,1180.838
0.493 sec,-787.998,-235.826,1012.844
0.495 sec,-391.986,37.576,444.568
0.498 sec,-448.838,168.726,672.22
0.5 sec,-546.56,-24.156,783.85
0.502 sec,-327.082,320.738,1091.778
0.505 sec,1313.574,-333.182,1517.192
0.507 sec,1152.412,-666.73,1117.276
0.51 sec,59.78,-118.706,1079.09
0.512 sec,-754.082,49.044,1321.992
0.514 sec,-779.824,-487.756,715.042
0.517 sec,-207.888,-105.042,685.396
0.519 sec,-398.208,-16.104,758.23
0.521 sec,-488.122,109.434,927.566
0.523 sec,-281.454,237.29,831.918
0.526 sec,1264.53,-33.428,1103.856
0.528 sec,1043.344,-534.848,1317.478
0.531 sec,7.564,-229.726,1312.598
0.533 sec,-972.828,-200.568,1101.294
0.535 sec,-557.784,-41.968,541.192
0.538 sec,-288.042,55.388,553.636
0.54 sec,-468.114,-132.37,1096.658
0.542 sec,-295.85,311.222,980.636
0.545 sec,485.316,112.972,1023.58
0.547 sec,1266.36,-27.816,1062.742
0.549 sec,1036.756,38.186,1575.874
0.551 sec,-73.932,-2.44,957.09
0.554 sec,-969.412,192.394,1201.944
0.556 sec,-488.488,290.36,416.02
0.558 sec,-497.272,118.706,574.132
0.561 sec,-628.91,-187.636,980.514
0.563 sec,-327.448,125.294,990.152
0.565 sec,-115.168,-204.228,996.74
0.568 sec,1332.118,-155.062,1523.902
0.57 sec,943.914,-196.298,1397.632
0.573 sec,-315.736,110.776,1143.506
0.575 sec,-968.436,-286.212,843.02
0.577 sec,-557.418,529.724,602.314
0.58 sec,-454.938,437.736,856.928
0.582 sec,-590.602,147.742,1051.518
0.584 sec,-126.026,56.12,741.028
0.587 sec,864.858,-208.864,1155.828
0.589 sec,1082.628,100.65,1715.686
0.591 sec,554.612,-81.984,1113.25
0.593 sec,-356.24,-308.782,1192.916
0.596 sec,-967.216,-438.346,782.874
0.598 sec,-424.316,266.57,519.598
0.601 sec,-445.788,293.41,1049.932
0.603 sec,-710.894,101.138,792.756
0.605 sec,-66.368,-2.44,946.964
0.607 sec,130.296,-167.384,1031.144
0.61 sec,1100.928,-37.698,1366.644
0.612 sec,106.506,295.728,1342.488
0.614 sec,-562.786,41.724,808.494
0.617 sec,-596.946,-246.318,730.536
0.619 sec,-309.27,692.472,516.792
0.621 sec,-511.302,77.958,391.01
0.624 sec,-709.43,43.066,847.046
0.626 sec,-50.63,-28.914,847.046
0.628 sec,198.738,-403.698,1646.268
0.631 sec,939.522,-435.784,876.936
0.633 sec,134.322,15.616,1054.934
0.635 sec,-550.342,33.672,879.376
0.637 sec,-550.342,-196.786,1085.678
0.64 sec,-255.712,147.498,681.492
0.642 sec,-559.004,-272.548,537.41
0.645 sec,-693.448,163.846,579.134
0.647 sec,-174.704,62.708,579.134
0.649 sec,430.172,-95.648,1472.174
0.651 sec,1135.82,-246.562,1257.21
0.654 sec,21.472,-9.394,1227.442
0.656 sec,-671.488,295.606,1443.748
0.659 sec,-474.214,-187.148,1005.158
0.661 sec,-291.092,-281.332,417.484
0.663 sec,-452.254,-267.668,917.562
0.666 sec,-517.524,310.734,768.234
0.668 sec,-175.314,51.484,1054.324
0.67 sec,595.726,137.616,1252.94
0.673 sec,1191.33,-268.888,1373.72
0.675 sec,12.078,290.726,1016.016
0.677 sec,-1019.432,517.524,1094.706
0.68 sec,-734.318,75.396,536.556
0.682 sec,-498.37,48.922,704.916
0.684 sec,-518.5,-61.976,911.096
0.686 sec,-403.576,-112.728,706.624
0.689 sec,-223.382,270.84,886.818
0.691 sec,490.44,-168.482,1282.586
0.694 sec,1159.732,-338.062,1470.832
0.696 sec,63.196,33.794,1041.636
