Acceleration Speed Spacing Speed_pred Spacing_pred
-0.588374999999999 0.930375 1.313733 0.926385 1.319587
0.650625000000024 0.999625000000004 1.39737 0.888725000000001 1.268776
-1.3721875 0.991125 1.287439 0.9149125 1.268911
0.440625000000025 0.816375000000001 1.204843 0.812875 0.857678
-0.208437500000025 0.9825625 1.148161 0.8397625 0.934819
-0.3746875 1.046625 1.414577 0.9014625 1.13549
1.3446875 0.976900000000001 1.347078 0.8878375 1.163784
0.819687500000002 0.993 1.388093 1.0856875 1.374177
-0.708437500000024 0.994062499999999 1.377058 1.0007625 1.297792
0.367812499999988 0.71575 2.080334 0.8033625 1.176166
-0.616625 1.08775 1.2894631 0.9229375 1.9034869
-0.740937500000001 0.951499999999999 2.23835 0.8928875 1.04336
0.246249999999963 0.961875 2.17792 0.790149999999999 1.04447
-1.64499999999996 0.771999999999998 1.387969 0.911349999999999 2.093831
0.844687500000063 0.990249999999997 1.227513 0.9202875 1.415165
-1.128125 0.940149999999999 1.203947 1.0214 1.398173
-1.16874999999999 1.1295 1.814001 0.860575000000001 1.153899
-0.128521875 0.992375 1.7628502 0.942491625 1.7782898
0.740625 0.942 1.907729 0.9576 1.765341
-0.6350625 1.06975 1.7445682 1.0499525 1.9274918
-1.111875 0.990625 1.198215 1.069625 1.704215
-1.002875 0.931624999999996 1.606147 0.971085 1.138963
0.0212500000000004 1.192975 1.51867 1.005425 1.096949
1.9359375 0.980999999999999 1.159998 1.0915625 1.455142
0.280000000000014 1.0173875 1.158752 0.9824 1.361351
-0.502781249999999 1.010625 2.0343317 0.96454375 1.1473683
-0.7353125 1.18165 1.877194 1.0071625 1.124554
0.344062499999999 1.071625 1.22868 0.9624875 1.81102
0.315312500000001 1.098875 1.2524773 0.97522 1.1395327
0.0893749999999874 0.9451875 1.260708 0.993299999999999 1.146686
-0.534937499999999 1.05775 1.1358781 1.019145 1.2911019
-0.0693749999999993 1.0555 1.879984 1.084975 1.163926
-0.652312499999999 1.098 1.782123 1.0021675 1.829257
0.26496875 1.089375 1.2790299 1.12197875 1.4459701
