Time,accX,accY,accZ
0.359 sec,-707.112,308.05,1032.608
0.362 sec,-769.088,3.05,1019.188
0.364 sec,-978.928,-392.84,924.882
0.366 sec,-794.464,66.002,224.114
0.369 sec,518.744,-71.736,126.758
0.371 sec,1233.42,-13.42,486.658
0.373 sec,761.524,541.07,1034.316
0.375 sec,-351.848,381.982,1669.692
0.378 sec,-708.332,-12.688,1209.386
0.38 sec,-430.416,-221.43,916.464
0.383 sec,-464.576,21.594,916.83
0.385 sec,-415.532,-263.764,650.26
0.387 sec,-266.082,-290.238,151.768
0.39 sec,910.364,-204.96,330.62
0.392 sec,1592.832,-122.61,1613.816
0.395 sec,1266.726,35.746,1329.922
0.397 sec,-176.778,-248.026,1387.262
0.4 sec,-711.26,-34.404,1171.322
0.402 sec,-757.62,-183.122,1225.856
0.404 sec,-845.338,52.094,1113.25
0.407 sec,-679.54,-167.628,40.016
0.409 sec,-102.602,-166.652,114.436
0.411 sec,956.48,341.356,138.226
0.413 sec,1166.564,430.05,-100.528
0.416 sec,247.05,201.788,1495.598
0.418 sec,-417.362,-29.036,1149.972
0.42 sec,-598.288,21.106,1545.862
0.423 sec,-284.748,-90.89,1058.472
0.425 sec,-607.804,-90.89,677.832
0.427 sec,-337.208,-60.512,307.806
0.43 sec,540.46,472.384,-225.578
0.432 sec,930.25,-12.322,809.958
0.434 sec,1351.15,-520.94,1612.23
0.437 sec,1029.436,100.04,1399.218
0.439 sec,-204.96,14.762,1638.948
0.442 sec,-878.4,-250.1,976.61
0.444 sec,-817.4,-112.728,1174.616
0.446 sec,-897.92,7.93,963.922
0.448 sec,-904.02,-71.126,-92.72
0.451 sec,297.314,27.45,-125.172
0.453 sec,1061.766,168.726,450.424
0.455 sec,992.47,305.122,419.436
0.458 sec,-248.636,154.208,1808.528
0.46 sec,-496.54,227.408,1837.442
0.462 sec,-464.21,-209.596,1227.442
0.465 sec,-384.91,-305,1065.182
0.467 sec,-273.646,-39.772,663.07
0.47 sec,-2.806,-151.28,208.986
0.472 sec,693.326,-173.728,128.588
0.474 sec,1001.254,419.68,597.8
0.477 sec,1443.87,566.568,-122.488
0.479 sec,235.582,28.914,889.136
0.481 sec,-535.824,174.216,1250.5
0.484 sec,-667.584,-144.326,1295.03
0.486 sec,-691.13,-423.828,1423.13
0.489 sec,-778.97,-518.256,239.242
0.491 sec,-239.486,-72.834,275.11
0.493 sec,465.43,-313.784,391.376
0.496 sec,1392.02,130.296,531.066
0.498 sec,638.182,207.888,1395.924
0.5 sec,-91.134,74.176,1117.764
0.503 sec,-554.124,326.228,1367.01
0.505 sec,-554.124,-74.664,1378.966
0.507 sec,-268.034,-773.846,819.352
0.51 sec,-175.192,-247.294,606.34
0.512 sec,190.686,-182.024,272.67
0.515 sec,728.706,129.198,706.624
0.517 sec,1589.782,120.048,1411.784
0.519 sec,1115.446,-32.208,1469.124
0.522 sec,-927.2,-208.498,1143.018
0.524 sec,-653.31,-132.37,1436.794
0.527 sec,-824.11,-275.232,1248.182
0.529 sec,-1022.116,-467.748,820.45
0.532 sec,-858.88,89.792,-298.778
0.534 sec,416.752,-231.312,702.964
0.536 sec,815.692,479.948,170.8
0.538 sec,1112.03,107.97,1636.386
0.541 sec,-529.846,781.044,1819.264
0.543 sec,-743.102,74.176,1692.018
0.546 sec,-335.988,198.128,1189.866
0.548 sec,-436.15,-214.598,909.144
0.55 sec,-219.478,-193.126,491.538
0.553 sec,-197.518,-37.332,-162.382
0.555 sec,388.204,-482.022,657.824
0.557 sec,1135.088,46.482,520.086
0.56 sec,763.598,-302.438,1555.866
0.562 sec,-515.694,-211.914,1731.18
0.565 sec,-704.184,205.57,1482.666
0.567 sec,-606.218,-66.124,1281
0.569 sec,-939.522,-469.7,857.538
0.572 sec,-799.71,-332.328,230.336
0.574 sec,-485.804,243.756,17.08
0.577 sec,1234.152,-364.414,232.41
0.579 sec,973.072,-74.664,1308.084
0.581 sec,-153.232,20.252,1435.818
0.584 sec,-835.334,-205.692,1437.526
0.586 sec,-463.112,-414.434,1286.612
0.589 sec,-281.454,-204.106,580.598
0.591 sec,-260.836,-309.392,715.53
0.594 sec,-20.618,-368.318,290.238
