Time,accX,accY,accZ
0 sec,-524.112,46.604,495.564
0.003 sec,523.746,66.368,992.958
0.005 sec,898.408,66.368,1195.112
0.007 sec,406.016,0.122,1522.56
0.009 sec,-276.574,-32.94,977.586
0.011 sec,-726.754,221.064,1120.204
0.014 sec,-187.026,363.56,924.028
0.016 sec,33.55,-473.482,374.174
0.018 sec,104.92,-484.34,825.818
0.021 sec,251.442,-296.826,528.26
0.023 sec,521.184,-423.706,1318.332
0.025 sec,1221.952,-909.632,1759.728
0.028 sec,1303.326,28.304,799.71
0.03 sec,1.83,-122.854,786.046
0.032 sec,-877.912,95.404,990.64
0.035 sec,-746.152,-141.886,540.338
0.037 sec,-1059.082,-254.492,1150.582
0.039 sec,-662.46,-103.7,207.644
0.042 sec,-285.236,267.668,649.406
0.044 sec,798.124,164.7,787.754
0.046 sec,1135.332,12.078,1101.294
0.048 sec,25.01,372.466,1814.262
0.051 sec,-420.656,121.634,1599.298
0.053 sec,-718.336,-214.72,856.806
0.056 sec,-202.886,-119.804,811.544
0.058 sec,204.228,-250.344,432.246
0.06 sec,181.78,127.246,812.642
0.062 sec,431.636,-363.194,752.374
0.065 sec,679.906,-137.128,1564.894
0.067 sec,1658.102,-47.946,2060.092
0.07 sec,1221.83,-25.864,1247.572
0.072 sec,-395.768,-123.708,457.256
0.075 sec,-1140.822,185.928,1092.876
0.077 sec,-745.908,-122.122,410.042
0.079 sec,-936.838,88.572,363.804
0.082 sec,-722.728,284.626,168.116
0.084 sec,188.978,160.43,437.37
0.086 sec,1135.454,-295.118,863.882
0.089 sec,1044.686,-411.75,1275.022
0.091 sec,-416.874,-340.014,1381.162
0.093 sec,-678.076,-844.606,1267.214
0.096 sec,-142.252,-132.248,610.61
0.098 sec,-109.434,-56.608,894.016
0.101 sec,114.558,48.434,489.708
0.103 sec,126.758,-217.038,277.306
0.105 sec,388.57,149.572,1324.432
0.107 sec,919.636,101.016,1159.976
0.11 sec,1379.576,72.468,1004.304
0.112 sec,410.042,-11.468,1073.234
0.114 sec,-644.16,-62.342,935.496
0.116 sec,-826.062,-159.088,341.478
0.119 sec,-879.254,-204.472,960.384
0.121 sec,-916.708,-131.15,641.354
0.124 sec,-192.882,-239.364,508.13
0.126 sec,374.54,-54.412,1215.486
0.128 sec,1022.36,315.98,835.212
0.131 sec,153.72,185.44,1185.23
0.133 sec,-284.504,534.726,1883.802
0.135 sec,-979.782,284.504,561.2
0.138 sec,-128.222,240.218,580.476
0.14 sec,192.76,-160.918,590.114
0.142 sec,193.126,-1.098,1185.962
0.144 sec,384.422,-74.176,617.808
0.147 sec,609.634,-182.146,1239.52
0.149 sec,1441.064,-174.704,1721.908
0.152 sec,1283.44,-277.306,1236.592
0.154 sec,-246.44,-19.886,937.204
0.156 sec,-1143.506,82.716,705.16
0.159 sec,-719.19,-198.25,321.226
0.161 sec,-1128.134,-93.086,775.31
0.164 sec,-825.452,339.404,751.764
0.166 sec,131.638,41.48,423.706
0.168 sec,970.876,-210.084,1268.312
0.17 sec,1047.858,-192.638,923.784
0.173 sec,-390.644,129.32,1257.21
0.175 sec,-676.978,-723.826,1218.292
0.178 sec,41.114,-8.784,702.354
0.18 sec,35.38,-162.992,578.158
0.182 sec,-95.404,-104.676,908.412
0.184 sec,162.382,-326.472,458.964
0.187 sec,355.752,-160.796,1236.226
0.189 sec,1156.438,-35.258,1156.316
0.191 sec,1044.198,277.55,1204.14
0.194 sec,671.61,439.078,984.784
0.196 sec,-581.696,-84.546,757.376
0.198 sec,-866.2,-14.274,518.256
0.2 sec,-834.968,144.204,658.19
0.203 sec,-920.49,62.464,772.504
0.205 sec,-375.15,-359.168,352.824
0.208 sec,524.356,-134.444,1040.904
0.21 sec,1268.556,26.84,1197.552
0.212 sec,455.548,-119.194,1444.846
0.214 sec,-251.198,117.608,1407.27
0.217 sec,-1057.74,108.58,684.786
0.219 sec,-288.042,447.374,734.196
0.221 sec,-178.73,174.094,464.21
0.224 sec,55.144,66.978,1119.228
0.226 sec,295.484,31.964,676.978
0.228 sec,599.508,-5.612,918.172
0.23 sec,1279.536,-322.08,1732.644
0.233 sec,1469.246,-276.33,917.318
0.235 sec,-70.882,18.91,1034.926
0.237 sec,-868.64,-197.152,613.05
0.24 sec,-767.624,-377.956,629.642
0.242 sec,-751.154,-249.124,986.492
0.245 sec,-834.724,27.45,752.496
0.247 sec,-44.896,-269.254,181.536
0.249 sec,883.28,236.558,931.348
0.251 sec,1196.576,369.904,1133.746
0.254 sec,-223.138,391.986,1767.292
0.256 sec,-757.742,109.312,927.688
0.258 sec,-618.052,-49.898,1334.314
0.261 sec,-39.284,95.038,650.016
0.263 sec,-36.722,-50.142,868.64
0.265 sec,9.76,78.446,846.802
0.267 sec,252.54,-420.656,861.076
0.27 sec,979.538,264.984,1334.558
0.272 sec,1551.962,-54.656,1836.466
0.274 sec,1551.962,177.266,952.82
0.277 sec,-347.334,-208.132,1265.018
0.279 sec,-1111.664,-117.73,433.222
0.282 sec,-1006.5,304.146,596.702
0.284 sec,-939.034,-1.098,596.702
0.286 sec,-900.238,159.454,434.32
0.288 sec,-547.292,-3.66,383.812
0.291 sec,1003.816,175.07,1327.604
0.293 sec,621.468,-79.422,1051.152
0.295 sec,621.468,-162.992,2012.268
0.298 sec,-505.812,-68.32,1326.628
0.3 sec,-439.566,349.774,1050.664
0.302 sec,-110.898,-295.85,515.328
0.305 sec,-122.61,-44.164,856.562
0.307 sec,94.916,-10.736,726.266
0.309 sec,322.08,281.942,586.942
0.312 sec,785.558,-18.788,1659.078
0.314 sec,1389.824,-34.282,1212.558
0.316 sec,1389.824,3.66,1326.14
0.318 sec,444.568,7.808,790.804
0.321 sec,-1005.524,-160.796,635.62
0.323 sec,-789.462,234.728,476.654
0.325 sec,-1035.902,-1.464,971.364
0.328 sec,-672.708,-252.784,307.44
0.33 sec,-306.464,-137.616,606.706
0.332 sec,720.41,506.788,750.788
0.335 sec,176.534,269.01,1714.71
0.337 sec,176.534,182.146,1046.516
0.339 sec,-380.518,-94.062,1152.534
0.342 sec,-141.764,406.016,861.564
0.344 sec,-204.96,-31.354,811.666
0.346 sec,138.104,-256.444,784.216
0.349 sec,269.742,-378.932,702.232
0.351 sec,372.588,-524.234,819.474
0.353 sec,764.452,-120.414,1943.094
0.356 sec,1495.232,-264.984,1081.408
0.358 sec,1495.232,128.1,1107.516
0.36 sec,-298.656,16.104,544.12
0.363 sec,-976.244,112.85,750.3
0.365 sec,-762.866,238.51,951.844
0.367 sec,-1041.392,18.666,832.528
0.37 sec,-639.768,612.196,423.096
0.372 sec,101.26,442.128,404.186
0.374 sec,921.588,26.596,1051.03
0.376 sec,1005.28,95.282,750.788
0.378 sec,-359.656,6.466,2066.924
