Time,accX,accY,accZ
0.36 sec,-387.838,-24.156,709.308
0.362 sec,-387.838,439.322,1404.83
0.364 sec,-349.652,-265.35,342.576
0.367 sec,157.868,-96.258,672.83
0.369 sec,1340.414,-313.662,1732.034
0.372 sec,1478.64,-453.962,1485.228
0.374 sec,337.208,-104.554,1052.25
0.376 sec,-591.212,151.036,653.676
0.379 sec,-527.894,-344.406,901.336
0.381 sec,-642.94,-325.496,1292.102
0.384 sec,-765.794,6.588,1187.67
0.386 sec,-340.38,281.21,643.794
0.388 sec,215.208,-17.812,935.618
0.391 sec,1331.996,44.53,1166.442
0.393 sec,1287.71,173.484,1166.442
0.395 sec,177.022,177.266,1295.762
0.397 sec,-837.164,553.148,574.62
0.4 sec,-443.226,186.294,821.67
0.402 sec,-350.628,-8.174,778.726
0.404 sec,-350.628,112.362,309.636
0.407 sec,-110.898,383.568,614.88
0.409 sec,243.634,-128.954,920.246
0.411 sec,1323.7,-120.536,2005.558
0.414 sec,1466.562,-261.446,1032.73
0.416 sec,23.668,-1.464,898.164
0.418 sec,-820.938,0.854,838.872
0.42 sec,-864.37,-339.038,860.466
0.423 sec,-453.84,-35.624,359.29
0.425 sec,-453.84,202.154,475.8
0.427 sec,-582.55,388.57,690.764
0.43 sec,131.638,352.702,1291.858
0.432 sec,1130.208,-415.044,1658.712
0.435 sec,1383.236,-699.548,995.886
0.437 sec,177.998,94.916,1348.832
0.439 sec,-1055.788,95.038,620.004
0.441 sec,-909.51,-4.636,808.982
0.444 sec,-284.992,107.726,237.656
0.446 sec,-284.992,418.46,650.138
0.448 sec,-277.428,-174.338,414.678
0.451 sec,21.96,-7.686,871.812
0.453 sec,1573.678,-91.012,1468.88
0.455 sec,1464.122,-729.072,1252.086
0.458 sec,213.378,-144.814,980.392
0.46 sec,-1011.624,30.744,693.57
0.462 sec,-820.206,13.176,465.064
0.465 sec,-566.446,-507.886,496.296
0.467 sec,-566.446,-122.488,900.116
0.47 sec,-605.608,-261.324,808.372
0.472 sec,239.608,-452.864,564.738
0.474 sec,1255.868,-117.12,1170.712
0.477 sec,1328.092,-694.912,1109.712
0.479 sec,6.588,262.666,1095.804
0.481 sec,-975.146,28.914,1196.576
0.483 sec,-546.682,415.166,227.042
0.486 sec,-408.944,134.078,351.97
0.488 sec,-408.944,465.918,1211.216
0.49 sec,-479.948,-134.566,755.912
0.493 sec,239.486,144.936,1369.206
0.495 sec,1774.734,304.268,1388.116
0.498 sec,1197.43,-435.174,870.226
0.5 sec,82.35,-81.13,857.66
0.502 sec,-1105.686,635.742,449.326
0.504 sec,-513.986,-7.564,493.612
0.507 sec,-568.032,-435.662,504.226
0.509 sec,-568.032,-270.596,1174.128
0.512 sec,-271.816,-99.552,891.576
0.514 sec,407.968,252.784,697.962
0.516 sec,1452.776,211.67,1379.576
0.519 sec,1127.28,-442.738,1319.43
0.521 sec,-22.204,228.018,1139.236
0.523 sec,-1165.466,384.544,260.592
0.526 sec,-472.994,374.784,567.91
0.528 sec,-382.104,-104.066,795.318
0.53 sec,-382.104,5.856,1422.276
0.533 sec,-68.564,-101.504,801.662
0.535 sec,389.058,4.636,747.982
0.537 sec,1308.328,-137.25,1822.436
0.539 sec,1278.926,-533.14,843.02
0.542 sec,29.524,-21.716,1535.37
0.544 sec,-685.762,660.63,493.002
0.547 sec,-623.908,216.55,591.944
0.549 sec,-564.982,-196.42,823.134
0.551 sec,-502.518,91.256,1141.31
0.554 sec,-95.404,295.606,714.554
0.556 sec,583.16,152.012,720.288
0.558 sec,1198.04,-269.132,1180.96
0.56 sec,1173.884,-465.186,1438.746
0.563 sec,-2.318,378.078,1670.546
0.565 sec,-1017.968,350.384,289.262
0.567 sec,-546.682,81.252,566.934
0.57 sec,-357.948,-174.46,827.526
0.572 sec,-295.484,96.258,938.302
0.574 sec,-283.894,79.422,504.47
0.577 sec,411.506,147.498,1110.078
0.579 sec,1275.998,-176.9,1552.694
0.581 sec,1319.796,-673.44,1195.112
0.584 sec,113.826,173.728,1282.342
0.586 sec,-1103.246,385.276,449.204
0.588 sec,-792.39,44.042,686.25
0.591 sec,-428.83,-114.192,937.204
0.593 sec,-397.598,316.224,1078.846
0.595 sec,-389.912,-85.156,314.516
0.598 sec,562.298,225.334,707.722
0.6 sec,1259.162,-216.428,1366.766
0.602 sec,1204.994,129.442,1354.078
0.605 sec,-166.164,275.842,1161.806
0.607 sec,-1119.716,134.2,407.358
0.61 sec,-484.828,230.092,657.702
0.612 sec,-423.462,-196.176,837.652
0.614 sec,-142.374,358.314,595.116
0.617 sec,-58.072,195.2,679.662
0.619 sec,331.962,43.798,949.526
0.621 sec,1066.89,-680.15,1701.534
0.624 sec,1465.586,-490.074,1243.668
0.626 sec,222.894,159.576,244.244
0.628 sec,-1218.902,77.47,521.916
0.631 sec,-532.896,250.1,866.932
0.633 sec,-660.996,184.342,646.722
0.635 sec,-286.212,400.892,454.938
0.638 sec,-136.396,463.478,439.566
0.64 sec,312.076,351.238,1093.486
0.642 sec,1230.98,235.948,1240.374
0.645 sec,1270.386,188.49,1262.212
0.647 sec,-51.484,-135.054,937.082
0.649 sec,-967.704,-507.276,866.444
0.652 sec,-459.818,270.962,279.624
0.654 sec,-489.952,-77.714,934.032
0.656 sec,-197.64,-258.64,687.592
0.659 sec,28.67,-132.126,605.12
0.661 sec,325.374,-302.926,1352.004
0.664 sec,1337.852,-139.202,1281.976
0.666 sec,1562.698,-573.766,1201.7
0.669 sec,-1167.784,-181.17,929.396
0.671 sec,-883.89,116.876,637.572
0.673 sec,-356.972,597.556,563.03
0.676 sec,-443.104,324.886,615.612
0.678 sec,-344.528,259.25,661.362
0.68 sec,-155.916,-197.518,1032.73
0.683 sec,508.74,189.222,1158.634
0.685 sec,1538.786,-196.42,1739.964
0.687 sec,1118.252,-335.378,913.536
0.69 sec,-890.966,146.278,1817.19
0.692 sec,-544.852,-48.312,554.49
0.695 sec,-428.22,106.628,443.348
0.697 sec,-424.438,274.866,541.436
0.699 sec,-396.5,130.174,1336.022
0.702 sec,-81.74,604.754,1202.92
0.704 sec,464.454,948.306,2157.57
0.706 sec,1276.242,-276.086,-91.866
0.709 sec,-88.694,83.814,1189.988
0.711 sec,-986.736,-360.388,1243.668
0.713 sec,-582.184,-350.872,439.688
0.716 sec,-439.078,138.104,363.316
0.718 sec,-718.092,-575.596,446.886
0.721 sec,-308.416,7.076,1121.424
0.723 sec,-103.578,369.294,470.432
0.725 sec,686.616,119.438,1396.778
0.727 sec,1556.11,514.596,1826.584
0.73 sec,-290.726,-66.002,988.2
0.732 sec,-1002.23,-227.286,1237.08
0.735 sec,-500.2,-136.762,237.046
0.737 sec,-460.428,419.924,677.222
0.739 sec,-646.478,329.888,1278.194
0.742 sec,-249.734,-237.778,1076.162
0.744 sec,21.228,-213.256,843.02
0.746 sec,829.356,-177.144,1463.146
0.749 sec,1076.162,387.106,1418.86
0.751 sec,-297.802,18.91,1224.758
0.754 sec,-1146.068,-220.454,1024.8
0.756 sec,-580.598,-305.122,379.054
0.758 sec,-655.994,-73.078,1044.442
0.761 sec,-379.664,-120.414,959.774
0.763 sec,-379.664,37.088,851.682
0.765 sec,-92.354,319.274,729.194
0.768 sec,1173.884,47.946,1263.554
0.77 sec,802.272,371.978,1816.214
0.772 sec,-390.4,-156.038,931.836
0.775 sec,-1007.598,-143.228,687.836
0.777 sec,-523.014,6.954,147.62
0.779 sec,-533.384,141.886,1086.044
0.782 sec,-164.578,-212.158,667.462
0.784 sec,-164.578,-159.698,881.694
0.786 sec,-38.308,320.494,911.584
0.789 sec,1221.098,100.894,1515.24
0.791 sec,932.812,106.994,1780.102
0.793 sec,-109.19,-168.726,788.73
0.796 sec,-1012.966,12.2,601.216
0.798 sec,-707.6,39.528,133.224
0.8 sec,-716.018,171.898,725.412
0.802 sec,-671.732,-180.072,959.042
0.805 sec,-220.82,-221.308,434.564
0.807 sec,-157.502,271.694,718.58
0.81 sec,1259.406,-188.002,1798.646
0.812 sec,656.238,-52.826,1759.85
0.815 sec,-290.238,-479.338,338.672
0.817 sec,-788.852,-241.682,302.316
0.819 sec,-607.316,-127.246,733.708
0.822 sec,-539.85,-367.098,786.778
0.824 sec,-76.616,-144.57,770.796
0.827 sec,134.932,-121.878,897.066
0.829 sec,563.64,-279.99,911.34
0.831 sec,1204.628,485.072,1798.158
0.834 sec,909.754,165.798,658.678
0.836 sec,-102.48,-255.59,408.822
0.838 sec,-1006.744,-637.206,520.086
0.841 sec,-610.488,228.018,570.96
0.843 sec,-661.606,-45.75,855.342
0.845 sec,-238.388,-223.504,831.796
0.848 sec,24.522,-193.248,633.546
0.85 sec,874.374,-650.26,1393.362
0.852 sec,1720.444,29.524,1946.876
0.855 sec,628.788,-134.81,496.052
0.857 sec,-396.622,-112.362,1241.96
0.86 sec,-376.492,-250.71,999.424
0.862 sec,-371.368,-157.258,555.588
0.864 sec,-343.43,-307.806,1019.066
0.867 sec,-305.976,-65.758,1128.256
0.869 sec,-61.854,-438.712,227.164
0.872 sec,690.154,39.284,1439.722
0.874 sec,1512.434,39.284,1160.83
0.876 sec,810.324,594.14,284.016
0.878 sec,-372.344,589.382,1163.88
0.881 sec,-588.406,267.424,1069.208
0.883 sec,-556.93,183.976,236.558
0.885 sec,-731.634,-248.27,304.024
0.888 sec,-296.826,-475.8,732.732
0.89 sec,134.932,-353.312,1071.648
0.893 sec,845.704,105.042,1935.652
0.895 sec,1534.028,105.042,1137.528
0.897 sec,753.594,-40.26,935.008
0.899 sec,-429.074,490.806,1150.216
0.902 sec,-409.188,635.254,550.464
0.904 sec,-491.294,240.096,39.04
0.906 sec,-498.98,143.594,435.906
0.909 sec,-275.964,-40.626,1226.222
0.911 sec,15.982,-561.078,963.922
0.913 sec,732.122,-412.36,1205.604
0.916 sec,1249.524,-0.976,782.386
0.918 sec,619.882,-134.444,1200.236
0.92 sec,-228.628,81.374,830.942
